contrato,nit,fechaInicioContrato,fechaFinContrato
Contrato,NIT,Fecha_inicio_contrato,Fecha_fin_contrato
C1466,900668781,13/12/2017,22/07/2023
C1475,901081005,28/12/2017,11/07/2023
C1481,900305657,19/01/2018,2/08/2023
C1492,901114017,1/02/2018,17/07/2023
C1498,900191237,18/01/2018,23/07/2023
C1500,900565733,19/01/2018,3/07/2023
C1501,900555053,16/02/2018,24/08/2023
C1503,901630205,15/02/2018,31/07/2023
C1504,901121296,22/02/2018,7/08/2023
C1505,901235028,13/03/2018,26/08/2023
C1506,900476276,11/05/2018,16/11/2023
C1507,900620140,26/02/2018,16/08/2023
C1508,900520636,17/04/2018,6/11/2023
C1510,900566272,21/03/2018,3/09/2023
C1512,815004027,27/03/2018,8/09/2023
C1513,900147047,12/03/2018,24/08/2023
C1523,816008233,26/03/2018,7/09/2023
C1525,811046779,2/05/2018,15/10/2023
C1528,830115955,8/05/2018,21/10/2023
C1530,900139404,23/04/2018,18/10/2023
C1531,830129113,30/04/2018,5/11/2023
C1533,830071626,25/04/2018,3/10/2023
C1535,901079244,2/08/2018,16/01/2024
C1536,900816389,2/05/2018,14/10/2023
C1537,900600884,8/06/2018,20/11/2023
C1538,900128072,1/06/2018,13/11/2023
C1539,901082269,5/07/2018,19/12/2023
C1540,830135611,11/05/2018,14/11/2023
C1541,901146583,5/06/2018,20/11/2023
C1542,901502216,22/06/2018,5/07/2023
C1544,901154229,15/05/2018,29/10/2023
C1545,900581479,1/06/2018,21/11/2023
C1546,901586999,7/06/2018,19/11/2023
C1547,900607505,30/05/2018,3/12/2023
C1549,901166657,7/06/2018,20/11/2023
C1551,900083597,8/06/2018,10/12/2023
C1553,901085415,21/06/2018,3/12/2023
C1554,900529398,18/06/2018,21/12/2023
C1557,900546535,10/07/2018,22/12/2023
C1558,901008683,16/07/2018,28/12/2023
C1560,900189717,10/09/2018,28/02/2024
C1563,900757089,1/07/2018,13/12/2023
C1565,901465215,17/07/2018,21/07/2023
C1568,900894215,6/09/2018,11/03/2024
C1569,900160619,9/07/2018,21/12/2023
C1570,900258556,26/07/2018,7/01/2024
C1571,901280521,13/08/2018,27/01/2024
C1573,901014972,22/08/2018,3/02/2024
C1577,801004574,9/08/2018,21/01/2024
C1578,830053303,5/08/2018,8/02/2024
C1579,900320249,24/09/2018,13/03/2024
C1580,901173163,23/08/2018,13/02/2024
C1581,901068081,6/09/2018,19/02/2024
C1582,900524726,21/08/2018,19/01/2024
C1584,901166159,3/09/2018,15/02/2024
C1585,900597253,27/07/2018,8/01/2024
C1589,901087692,13/08/2018,28/01/2024
C1590,901535653,27/08/2018,8/09/2023
C1591,901160733,13/09/2018,10/03/2024
C1592,900880383,15/08/2018,26/08/2023
C1594,830137826,24/10/2018,29/04/2024
C1595,900305862,8/10/2018,30/03/2024
C1597,900194335,5/10/2018,19/03/2024
C1599,811041488,4/09/2018,16/02/2024
C1600,900618458,13/09/2018,6/03/2024
C1601,900342051,28/08/2018,26/01/2024
C1602,901172469,5/10/2018,21/03/2024
C1603,900176041,4/09/2018,1/03/2024
C1604,900613680,30/08/2018,7/02/2024
C1605,816008284,5/09/2018,17/02/2024
C1606,811041856,6/09/2018,19/02/2024
C1607,900589087,19/10/2018,2/04/2024
C1608,900539130,30/08/2018,4/03/2024
C1609,832011318,7/09/2018,5/02/2024
C1610,901178646,10/10/2018,15/04/2024
C1611,901148278,24/09/2018,30/10/2023
C1612,901186460,8/10/2018,22/03/2024
C1613,900141659,2/10/2018,16/03/2024
C1614,901037669,27/09/2018,26/09/2023
C1615,800001520,11/09/2018,23/02/2024
C1616,900154208,2/10/2018,15/10/2023
C1618,901192144,24/10/2018,24/04/2024
C1620,901159452,28/09/2018,11/03/2024
C1622,901129683,23/10/2018,24/12/2023
C1623,901189026,22/10/2018,6/04/2024
C1624,900325552,29/10/2018,8/04/2024
C1629,900607391,21/11/2018,16/12/2023
C1630,900639417,17/10/2018,13/04/2024
C1631,901067324,11/12/2018,10/12/2023
C1632,900024874,19/10/2018,19/03/2024
C1633,900232103,9/10/2018,31/03/2024
C1634,800256745,26/10/2018,8/04/2024
C1635,830137090,24/10/2018,30/04/2024
C1636,900132929,24/10/2018,7/04/2024
C1637,805007280,14/11/2018,27/04/2024
C1638,900194157,4/12/2018,19/05/2024
C1639,900574020,7/02/2019,30/07/2024
C1640,901196936,23/11/2018,7/05/2024
C1641,900051385,21/11/2018,5/07/2024
